[00:00:00.003] (639c) INFO   Max Width: 512, Max_Height: 193
[00:00:00.015] (639c) INFO   Unicode: 9618, Char: ▒ | Metrics: (510, 1010) | Bearings: (-5, 660) | Advance: 500 | BoundingBox: (0, 0.8341969), (0.03125, 1)
[00:00:00.220] (639c) INFO   Unicode: 9562, Char: ╚ | Metrics: (351, 612) | Bearings: (153, 1058) | Advance: 500 | BoundingBox: (0.765625, 0.27979273), (0.7871094, 0.37823832)
[00:00:00.221] (639c) INFO   Unicode: 9563, Char: ╛ | Metrics: (287, 612) | Bearings: (-5, 1058) | Advance: 500 | BoundingBox: (0.796875, 0.27979273), (0.8144531, 0.37823832)
[00:00:00.221] (639c) INFO   Unicode: 9560, Char: ╘ | Metrics: (287, 612) | Bearings: (217, 1058) | Advance: 500 | BoundingBox: (0.82421875, 0.27979273), (0.8417969, 0.37823832)
[00:00:00.222] (639c) INFO   Unicode: 9574, Char: ╦ | Metrics: (510, 608) | Bearings: (-5, 258) | Advance: 500 | BoundingBox: (0.8515625, 0.27979273), (0.8828125, 0.37823832)
[00:00:00.223] (639c) INFO   Unicode: 9572, Char: ╤ | Metrics: (510, 608) | Bearings: (-5, 258) | Advance: 500 | BoundingBox: (0.8925781, 0.27979273), (0.9238281, 0.37823832)
[00:00:00.223] (639c) INFO   Unicode: 9559, Char: ╗ | Metrics: (351, 608) | Bearings: (-5, 258) | Advance: 500 | BoundingBox: (0.93359375, 0.27979273), (0.9550781, 0.37823832)
[00:00:00.224] (639c) INFO   Unicode: 9556, Char: ╔ | Metrics: (351, 608) | Bearings: (153, 258) | Advance: 500 | BoundingBox: (0.96484375, 0.27979273), (0.9863281, 0.37823832)
[00:00:00.225] (639c) INFO   Unicode: 9557, Char: ╕ | Metrics: (287, 608) | Bearings: (-5, 258) | Advance: 500 | BoundingBox: (0, 0.15544039), (0.017578125, 0.25388598)
[00:00:00.225] (639c) INFO   Unicode: 9554, Char: ╒ | Metrics: (287, 608) | Bearings: (217, 258) | Advance: 500 | BoundingBox: (0.02734375, 0.15544039), (0.044921875, 0.25388598)
[00:00:00.226] (639c) INFO   Unicode: 59, Char: ; | Metrics: (202, 608) | Bearings: (125, 320) | Advance: 500 | BoundingBox: (0.0546875, 0.15544039), (0.06640625, 0.25388598)
[00:00:00.227] (639c) INFO   Unicode: 177, Char: ± | Metrics: (409, 554) | Bearings: (46, 554) | Advance: 500 | BoundingBox: (0.076171875, 0.16580313), (0.1015625, 0.25388598)
[00:00:00.227] (639c) INFO   Unicode: 9524, Char: ┴ | Metrics: (510, 542) | Bearings: (-5, 1128) | Advance: 500 | BoundingBox: (0.111328125, 0.16580313), (0.14257813, 0.25388598)
[00:00:00.228] (639c) INFO   Unicode: 9576, Char: ╨ | Metrics: (510, 542) | Bearings: (-5, 1128) | Advance: 500 | BoundingBox: (0.15234375, 0.16580313), (0.18359375, 0.25388598)
[00:00:00.228] (639c) INFO   Unicode: 9564, Char: ╜ | Metrics: (351, 542) | Bearings: (-5, 1128) | Advance: 500 | BoundingBox: (0.19335938, 0.16580313), (0.21484375, 0.25388598)
[00:00:00.229] (639c) INFO   Unicode: 9561, Char: ╙ | Metrics: (351, 542) | Bearings: (153, 1128) | Advance: 500 | BoundingBox: (0.22460938, 0.16580313), (0.24609375, 0.25388598)
[00:00:00.229] (639c) INFO   Unicode: 9492, Char: └ | Metrics: (287, 542) | Bearings: (217, 1128) | Advance: 500 | BoundingBox: (0.25585938, 0.16580313), (0.2734375, 0.25388598)
[00:00:00.229] (639c) INFO   Unicode: 9496, Char: ┘ | Metrics: (287, 542) | Bearings: (-5, 1128) | Advance: 500 | BoundingBox: (0.28320313, 0.16580313), (0.30078125, 0.25388598)
[00:00:00.230] (639c) INFO   Unicode: 9516, Char: ┬ | Metrics: (510, 538) | Bearings: (-5, 188) | Advance: 500 | BoundingBox: (0.31054688, 0.16580313), (0.34179688, 0.25388598)
[00:00:00.230] (639c) INFO   Unicode: 9573, Char: ╥ | Metrics: (510, 538) | Bearings: (-5, 188) | Advance: 500 | BoundingBox: (0.3515625, 0.16580313), (0.3828125, 0.25388598)
[00:00:00.231] (639c) INFO   Unicode: 9558, Char: ╖ | Metrics: (351, 538) | Bearings: (-5, 188) | Advance: 500 | BoundingBox: (0.39257813, 0.16580313), (0.4140625, 0.25388598)
[00:00:00.231] (639c) INFO   Unicode: 9555, Char: ╓ | Metrics: (351, 538) | Bearings: (153, 188) | Advance: 500 | BoundingBox: (0.42382813, 0.16580313), (0.4453125, 0.25388598)
[00:00:00.231] (639c) INFO   Unicode: 9488, Char: ┐ | Metrics: (287, 538) | Bearings: (-5, 188) | Advance: 500 | BoundingBox: (0.45507813, 0.16580313), (0.47265625, 0.25388598)
[00:00:00.232] (639c) INFO   Unicode: 9484, Char: ┌ | Metrics: (287, 538) | Bearings: (217, 188) | Advance: 500 | BoundingBox: (0.48242188, 0.16580313), (0.5, 0.25388598)
[00:00:00.232] (639c) INFO   Unicode: 8805, Char: ≥ | Metrics: (409, 514) | Bearings: (46, 516) | Advance: 500 | BoundingBox: (0.5097656, 0.17098445), (0.53515625, 0.25388598)
[00:00:00.233] (639c) INFO   Unicode: 8804, Char: ≤ | Metrics: (409, 514) | Bearings: (46, 516) | Advance: 500 | BoundingBox: (0.5449219, 0.17098445), (0.5703125, 0.25388598)
[00:00:00.233] (639c) INFO   Unicode: 9600, Char: ▀ | Metrics: (510, 510) | Bearings: (-5, 1160) | Advance: 500 | BoundingBox: (0.5800781, 0.17098445), (0.6113281, 0.25388598)
[00:00:00.233] (639c) INFO   Unicode: 9604, Char: ▄ | Metrics: (510, 500) | Bearings: (-5, 150) | Advance: 500 | BoundingBox: (0.62109375, 0.17098445), (0.65234375, 0.25388598)
[00:00:00.235] (639c) INFO   Unicode: 949, Char: ε | Metrics: (397, 487) | Bearings: (69, 465) | Advance: 500 | BoundingBox: (0.6621094, 0.17616582), (0.6855469, 0.25388598)
[00:00:00.238] (639c) INFO   Unicode: 230, Char: æ | Metrics: (447, 486) | Bearings: (31, 464) | Advance: 500 | BoundingBox: (0.6953125, 0.17616582), (0.72265625, 0.25388598)
[00:00:00.239] (639c) INFO   Unicode: 111, Char: o | Metrics: (420, 486) | Bearings: (40, 464) | Advance: 500 | BoundingBox: (0.7324219, 0.17616582), (0.7578125, 0.25388598)
[00:00:00.240] (639c) INFO   Unicode: 101, Char: e | Metrics: (415, 486) | Bearings: (40, 464) | Advance: 500 | BoundingBox: (0.7675781, 0.17616582), (0.79296875, 0.25388598)
[00:00:00.241] (639c) INFO   Unicode: 99, Char: c | Metrics: (402, 486) | Bearings: (49, 464) | Advance: 500 | BoundingBox: (0.8027344, 0.17616582), (0.828125, 0.25388598)
[00:00:00.243] (639c) INFO   Unicode: 97, Char: a | Metrics: (374, 486) | Bearings: (58, 464) | Advance: 500 | BoundingBox: (0.8378906, 0.17616582), (0.8613281, 0.25388598)
[00:00:00.244] (639c) INFO   Unicode: 115, Char: s | Metrics: (368, 486) | Bearings: (66, 464) | Advance: 500 | BoundingBox: (0.87109375, 0.17616582), (0.89453125, 0.25388598)
[00:00:00.245] (639c) INFO   Unicode: 945, Char: α | Metrics: (422, 484) | Bearings: (49, 464) | Advance: 500 | BoundingBox: (0.9042969, 0.17616582), (0.9296875, 0.25388598)
[00:00:00.247] (639c) INFO   Unicode: 963, Char: σ | Metrics: (433, 476) | Bearings: (40, 452) | Advance: 500 | BoundingBox: (0.9394531, 0.17616582), (0.9667969, 0.25388598)
[00:00:00.247] (639c) INFO   Unicode: 58, Char: : | Metrics: (147, 476) | Bearings: (177, 452) | Advance: 500 | BoundingBox: (0.9765625, 0.17616582), (0.9863281, 0.25388598)
[00:00:00.248] (639c) INFO   Unicode: 964, Char: τ | Metrics: (387, 475) | Bearings: (63, 453) | Advance: 500 | BoundingBox: (0, 0.062176168), (0.0234375, 0.1398964)
[00:00:00.249] (639c) INFO   Unicode: 109, Char: m | Metrics: (423, 474) | Bearings: (41, 474) | Advance: 500 | BoundingBox: (0.033203125, 0.062176168), (0.05859375, 0.1398964)
[00:00:00.250] (639c) INFO   Unicode: 110, Char: n | Metrics: (361, 474) | Bearings: (71, 474) | Advance: 500 | BoundingBox: (0.068359375, 0.062176168), (0.08984375, 0.1398964)
[00:00:00.250] (639c) INFO   Unicode: 117, Char: u | Metrics: (361, 474) | Bearings: (68, 454) | Advance: 500 | BoundingBox: (0.099609375, 0.062176168), (0.12109375, 0.1398964)
[00:00:00.251] (639c) INFO   Unicode: 114, Char: r | Metrics: (331, 474) | Bearings: (107, 474) | Advance: 500 | BoundingBox: (0.13085938, 0.062176168), (0.15039063, 0.1398964)
[00:00:00.252] (639c) INFO   Unicode: 119, Char: w | Metrics: (462, 464) | Bearings: (19, 464) | Advance: 500 | BoundingBox: (0.16015625, 0.062176168), (0.1875, 0.1398964)
[00:00:00.253] (639c) INFO   Unicode: 120, Char: x | Metrics: (443, 464) | Bearings: (29, 464) | Advance: 500 | BoundingBox: (0.19726563, 0.062176168), (0.22460938, 0.1398964)
[00:00:00.254] (639c) INFO   Unicode: 118, Char: v | Metrics: (440, 464) | Bearings: (30, 464) | Advance: 500 | BoundingBox: (0.234375, 0.062176168), (0.26171875, 0.1398964)
[00:00:00.255] (639c) INFO   Unicode: 960, Char: π | Metrics: (358, 464) | Bearings: (71, 464) | Advance: 500 | BoundingBox: (0.27148438, 0.062176168), (0.29296875, 0.1398964)
[00:00:00.255] (639c) INFO   Unicode: 122, Char: z | Metrics: (354, 464) | Bearings: (73, 464) | Advance: 500 | BoundingBox: (0.30273438, 0.062176168), (0.32421875, 0.1398964)
[00:00:00.256] (639c) INFO   Unicode: 247, Char: ÷ | Metrics: (409, 453) | Bearings: (46, 525) | Advance: 500 | BoundingBox: (0.33398438, 0.06735754), (0.359375, 0.1398964)
[00:00:00.257] (639c) INFO   Unicode: 43, Char: + | Metrics: (409, 439) | Bearings: (46, 525) | Advance: 500 | BoundingBox: (0.36914063, 0.06735754), (0.39453125, 0.1398964)
[00:00:00.260] (639c) INFO   Unicode: 9829, Char: ♥ | Metrics: (500, 438) | Bearings: (0, 660) | Advance: 500 | BoundingBox: (0.40429688, 0.06735754), (0.43554688, 0.1398964)
[00:00:00.260] (639c) INFO   Unicode: 60, Char: < | Metrics: (409, 399) | Bearings: (49, 509) | Advance: 500 | BoundingBox: (0.4453125, 0.077720225), (0.47070313, 0.1398964)
[00:00:00.260] (639c) INFO   Unicode: 62, Char: > | Metrics: (409, 399) | Bearings: (49, 509) | Advance: 500 | BoundingBox: (0.48046875, 0.077720225), (0.5058594, 0.1398964)
[00:00:00.261] (639c) INFO   Unicode: 42, Char: * | Metrics: (386, 369) | Bearings: (57, 869) | Advance: 500 | BoundingBox: (0.515625, 0.077720225), (0.5390625, 0.1398964)
[00:00:00.262] (639c) INFO   Unicode: 178, Char: ² | Metrics: (252, 352) | Bearings: (124, 914) | Advance: 500 | BoundingBox: (0.5488281, 0.08290154), (0.5644531, 0.1398964)
[00:00:00.262] (639c) INFO   Unicode: 187, Char: » | Metrics: (352, 351) | Bearings: (85, 509) | Advance: 500 | BoundingBox: (0.57421875, 0.08290154), (0.5957031, 0.1398964)
[00:00:00.263] (639c) INFO   Unicode: 171, Char: « | Metrics: (350, 351) | Bearings: (63, 509) | Advance: 500 | BoundingBox: (0.60546875, 0.08290154), (0.6269531, 0.1398964)
[00:00:00.264] (639c) INFO   Unicode: 186, Char: º | Metrics: (322, 339) | Bearings: (89, 925) | Advance: 500 | BoundingBox: (0.63671875, 0.08290154), (0.65625, 0.1398964)
[00:00:00.265] (639c) INFO   Unicode: 8776, Char: ≈ | Metrics: (426, 338) | Bearings: (37, 528) | Advance: 500 | BoundingBox: (0.6660156, 0.08290154), (0.69140625, 0.1398964)
[00:00:00.266] (639c) INFO   Unicode: 94, Char: ^ | Metrics: (420, 338) | Bearings: (40, 900) | Advance: 500 | BoundingBox: (0.7011719, 0.08290154), (0.7265625, 0.1398964)
[00:00:00.267] (639c) INFO   Unicode: 170, Char: ª | Metrics: (266, 336) | Bearings: (118, 924) | Advance: 500 | BoundingBox: (0.7363281, 0.08290154), (0.7519531, 0.1398964)
[00:00:00.267] (639c) INFO   Unicode: 172, Char: ¬ | Metrics: (409, 304) | Bearings: (41, 390) | Advance: 500 | BoundingBox: (0.76171875, 0.08808291), (0.7871094, 0.1398964)
[00:00:00.267] (639c) INFO   Unicode: 8226, Char: • | Metrics: (272, 286) | Bearings: (114, 632) | Advance: 500 | BoundingBox: (0.796875, 0.09326422), (0.8144531, 0.1398964)
[00:00:00.268] (639c) INFO   Unicode: 44, Char: , | Metrics: (202, 283) | Bearings: (149, -5) | Advance: 500 | BoundingBox: (0.82421875, 0.09326422), (0.8359375, 0.1398964)
[00:00:00.268] (639c) INFO   Unicode: 39, Char: ' | Metrics: (87, 267) | Bearings: (206, 1091) | Advance: 500 | BoundingBox: (0.8457031, 0.098445594), (0.8515625, 0.1398964)
[00:00:00.268] (639c) INFO   Unicode: 61, Char: = | Metrics: (409, 261) | Bearings: (46, 525) | Advance: 500 | BoundingBox: (0.8613281, 0.098445594), (0.88671875, 0.1398964)
[00:00:00.269] (639c) INFO   Unicode: 8734, Char: ∞ | Metrics: (440, 253) | Bearings: (30, 525) | Advance: 500 | BoundingBox: (0.8964844, 0.098445594), (0.9238281, 0.1398964)
[00:00:00.270] (639c) INFO   Unicode: 34, Char: " | Metrics: (242, 249) | Bearings: (129, 1109) | Advance: 500 | BoundingBox: (0.93359375, 0.098445594), (0.94921875, 0.1398964)
[00:00:00.270] (639c) INFO   Unicode: 176, Char: ° | Metrics: (250, 248) | Bearings: (125, 1138) | Advance: 500 | BoundingBox: (0.9589844, 0.098445594), (0.9746094, 0.1398964)
[00:00:00.270] (639c) INFO   Unicode: 9552, Char: ═ | Metrics: (510, 210) | Bearings: (-5, 656) | Advance: 500 | BoundingBox: (0, 0), (0.03125, 0.036269426)
[00:00:00.271] (639c) INFO   Unicode: 96, Char: ` | Metrics: (167, 175) | Bearings: (163, 1211) | Advance: 500 | BoundingBox: (0.041015625, 0.010362685), (0.05078125, 0.036269426)
[00:00:00.271] (639c) INFO   Unicode: 46, Char: . | Metrics: (147, 153) | Bearings: (177, 129) | Advance: 500 | BoundingBox: (0.060546875, 0.010362685), (0.0703125, 0.036269426)
[00:00:00.271] (639c) INFO   Unicode: 8729, Char: ∙ | Metrics: (147, 153) | Bearings: (177, 557) | Advance: 500 | BoundingBox: (0.080078125, 0.010362685), (0.08984375, 0.036269426)
[00:00:00.271] (639c) INFO   Unicode: 183, Char: · | Metrics: (147, 153) | Bearings: (177, 521) | Advance: 500 | BoundingBox: (0.099609375, 0.010362685), (0.109375, 0.036269426)
[00:00:00.271] (639c) INFO   Unicode: 126, Char: ~ | Metrics: (426, 148) | Bearings: (37, 526) | Advance: 500 | BoundingBox: (0.119140625, 0.010362685), (0.14453125, 0.036269426)
[00:00:00.272] (639c) INFO   Unicode: 45, Char: - | Metrics: (220, 78) | Bearings: (140, 508) | Advance: 500 | BoundingBox: (0.15429688, 0.025906742), (0.16796875, 0.036269426)
[00:00:00.272] (639c) INFO   Unicode: 9472, Char: ─ | Metrics: (510, 70) | Bearings: (-5, 656) | Advance: 500 | BoundingBox: (0.17773438, 0.025906742), (0.20898438, 0.036269426)
[00:00:00.272] (639c) INFO   Unicode: 95, Char: _ | Metrics: (484, 70) | Bearings: (8, -260) | Advance: 500 | BoundingBox: (0.21875, 0.025906742), (0.24804688, 0.036269426)
[00:00:00.356] (639c) INFO   Generated atlas to C:/Users/porri/Documents/Projects/Unity/InitialPrefabs.Msdf/Assets/com.initialprefabs.msdfgen/Example/UbuntuMonoNerdFontMono-Regular.png
[00:00:00.356] (639c) INFO   Units Per EM: 1000, Total Glyphs: 217
